iter	Logloss
0	0.6907009548
1	0.6883205685
2	0.6862388364
3	0.6843715701
4	0.6823694618
5	0.6807145727
6	0.6790608072
7	0.6775279349
8	0.676071205
9	0.6746985561
10	0.6734358183
11	0.6722512496
12	0.6710995866
13	0.6700872408
14	0.6688240267
15	0.667807218
16	0.6668322177
17	0.6660060256
18	0.665095427
19	0.6642074537
20	0.6634569376
21	0.6626645522
22	0.6618560223
23	0.6612446383
24	0.6604164277
25	0.6598810659
26	0.6593309355
27	0.6586565227
28	0.658114024
29	0.6575690349
30	0.6571310004
31	0.6565407329
32	0.6560248272
33	0.6555547464
34	0.6551177008
35	0.6546916697
36	0.6542883767
37	0.6539126798
38	0.6535983749
39	0.6530954862
40	0.6525869839
41	0.6522416988
42	0.6521114867
43	0.6517427859
44	0.6513508785
45	0.6509888547
46	0.6508479981
47	0.6506492137
48	0.6503751597
49	0.6498803015
50	0.6496296495
51	0.6493101782
52	0.648961709
53	0.6486804625
54	0.6485110181
55	0.6483381426
56	0.6481193101
57	0.6479082967
58	0.6476965001
59	0.6473739053
60	0.6470903224
61	0.6468700721
62	0.646675376
63	0.6464846449
64	0.6461709569
65	0.6458345425
66	0.6455468408
67	0.6453674419
68	0.6451484377
69	0.6449685761
70	0.644779156
71	0.644495963
72	0.64429762
73	0.6441029975
74	0.6438181985
75	0.6435041172
76	0.6432849295
77	0.6429826364
78	0.6427626896
79	0.6424398352
80	0.6421205729
81	0.6419479514
82	0.6417719599
83	0.641581266
84	0.641357122
85	0.6411269063
86	0.6409453779
87	0.6408185721
88	0.6405338494
89	0.6404858027
90	0.6402899759
91	0.6400623536
92	0.6399151823
93	0.6397470765
94	0.6395411866
95	0.6393599344
96	0.6391754442
97	0.6389379007
98	0.6387342024
99	0.6385236472
100	0.638381451
101	0.6382372013
102	0.6379929222
103	0.6378353407
104	0.637690807
105	0.6374901679
106	0.6371713862
107	0.6370002782
108	0.6368056996
109	0.6366031679
110	0.63648792
111	0.636310525
112	0.6361222086
113	0.6359172433
114	0.6357149999
115	0.6354988835
116	0.6352912451
117	0.635060074
118	0.6348703681
119	0.6346957301
120	0.6345431898
121	0.6343257814
122	0.6341664667
123	0.6340379535
124	0.6339108894
125	0.6336656098
126	0.6334922341
127	0.6332931565
128	0.6331425984
129	0.6328581031
130	0.6327155172
131	0.6324694777
132	0.6323531988
133	0.6321319122
134	0.6319523591
135	0.6317826008
136	0.6316776782
137	0.631570842
138	0.631340823
139	0.6311828673
140	0.6310579173
141	0.630900189
142	0.6307325343
143	0.6305797305
144	0.6304685423
145	0.6302522645
146	0.6301158879
147	0.6299043533
148	0.6296737479
149	0.629462264
150	0.6292118367
151	0.6290475509
152	0.6288992781
153	0.628628116
154	0.6285086947
155	0.628360372
156	0.6281314626
157	0.6279738652
158	0.6277320379
159	0.6277213083
160	0.6275764747
161	0.6273835232
162	0.6271857422
163	0.6270444372
164	0.6268782039
165	0.6266959074
166	0.6265260077
167	0.6264130287
168	0.6262184687
169	0.6260657475
170	0.6258734245
171	0.6256704107
172	0.6255067085
173	0.6254274471
174	0.6252649066
175	0.625063594
176	0.6248924902
177	0.62474747
178	0.6246316001
179	0.6244099006
180	0.6242602094
181	0.6241591783
182	0.6240152925
183	0.6238619934
184	0.6236755898
185	0.6235240151
186	0.6233308994
187	0.6231932007
188	0.6230232294
189	0.6228458712
190	0.6227025089
191	0.6225329688
192	0.6224261717
193	0.6222529613
194	0.6220885292
195	0.6219418679
196	0.6218056892
197	0.621693478
198	0.6215618787
199	0.6213637554
200	0.6211722606
201	0.6210068371
202	0.6208741096
203	0.6207276971
204	0.6205575426
205	0.6204767573
206	0.6202842658
207	0.6201435232
208	0.6200121256
209	0.6198913153
210	0.619774619
211	0.6196432645
212	0.6194376768
213	0.6191867658
214	0.6190268646
215	0.6188913962
216	0.6187755268
217	0.6185969472
218	0.6184220096
219	0.6182866213
220	0.6180955284
221	0.6179839587
222	0.6177695663
223	0.6176516977
224	0.617534157
225	0.6173389716
226	0.6171724184
227	0.6169462928
228	0.616805133
229	0.6166777471
230	0.6165325415
231	0.6164231414
232	0.6161641851
233	0.6159931451
234	0.6157738086
235	0.6156208039
236	0.61544943
237	0.6152858144
238	0.615109876
239	0.6148961671
240	0.6147514239
241	0.6146454889
242	0.6144984164
243	0.6143009433
244	0.6141630976
245	0.6139894142
246	0.6138989466
247	0.6136538508
248	0.6134867085
249	0.6133868127
250	0.6132446935
251	0.6130296563
252	0.6129044867
253	0.6127382103
254	0.6125755275
255	0.6123955721
256	0.6122617663
257	0.612142862
258	0.6119882121
259	0.6117869754
260	0.6115561577
261	0.6114207476
262	0.6112675139
263	0.6111318639
264	0.6110002192
265	0.6108785116
266	0.6107274112
267	0.6105716849
268	0.6103662421
269	0.6102186553
270	0.6100543406
271	0.609894345
272	0.6097757214
273	0.6095855205
274	0.6093563284
275	0.6091594426
276	0.6090206992
277	0.6089441433
278	0.6087719956
279	0.6086530791
280	0.608503074
281	0.6082076018
282	0.6080967038
283	0.6079164849
284	0.607667103
285	0.6075473482
286	0.6073609648
287	0.6072128524
288	0.6070605587
289	0.6068987804
290	0.6067623548
291	0.6064693032
292	0.6062353682
293	0.6059700676
294	0.6057427005
295	0.605628132
296	0.6054129011
297	0.6052641293
298	0.6050452405
299	0.604890893
300	0.6047758525
301	0.6045551087
302	0.6043851408
303	0.6042861046
304	0.6041327293
305	0.6038753217
306	0.6037393265
307	0.6036341645
308	0.6034840086
309	0.6033010876
310	0.603138134
311	0.6029707928
312	0.6027251709
313	0.6025908876
314	0.6024366088
315	0.6022943605
316	0.6021242608
317	0.601954096
318	0.6018060909
319	0.6016994933
320	0.601539273
321	0.6013534725
322	0.6011805024
323	0.6010625269
324	0.6008668699
325	0.6006996161
326	0.6005131385
327	0.6003468987
328	0.6001219658
329	0.5998824851
330	0.5997622832
331	0.599564328
332	0.5994159656
333	0.5992691919
334	0.5990706096
335	0.598935093
336	0.5987150602
337	0.5985665826
338	0.5984167655
339	0.5982505318
340	0.5980950012
341	0.5979010865
342	0.5976798844
343	0.5975021923
344	0.5972836613
345	0.5970657622
346	0.5969449456
347	0.5966998103
348	0.5964622004
349	0.5962789143
350	0.5960314769
351	0.5958511433
352	0.5956327112
353	0.5955053092
354	0.5953146066
355	0.5951318596
356	0.5950002742
357	0.5947887173
358	0.5945974866
359	0.5943461858
360	0.5941750122
361	0.5938830411
362	0.5937056265
363	0.5935762691
364	0.5933221597
365	0.593165079
366	0.5929977145
367	0.5928460192
368	0.5926068685
369	0.5923952126
370	0.592179521
371	0.5919439219
372	0.5917972673
373	0.5916120122
374	0.5914431905
375	0.5912447401
376	0.5910466971
377	0.5908278231
378	0.5906450142
379	0.5904019224
380	0.590204122
381	0.5900584065
382	0.5898882525
383	0.5897427011
384	0.5895415547
385	0.5893283054
386	0.5891231338
387	0.5889571418
388	0.5887986221
389	0.5885882533
390	0.5883523815
391	0.5881330846
392	0.5880031542
393	0.5878519095
394	0.5876517449
395	0.5875174644
396	0.5873374642
397	0.5872015197
398	0.5869945974
399	0.5868539169
400	0.5866555415
401	0.5864244582
402	0.5862347722
403	0.5860576121
404	0.5858444484
405	0.5856255486
406	0.5854453625
407	0.5853007247
408	0.5851936387
409	0.5850969557
410	0.5848593863
411	0.5846865957
412	0.5845362529
413	0.5843226946
414	0.5840958821
415	0.5839687282
416	0.5837079059
417	0.5835181715
418	0.5833754973
419	0.5831844836
420	0.5830210289
421	0.5828900766
422	0.5827806737
423	0.5826241233
424	0.5824231915
425	0.5822565023
426	0.5820875973
427	0.5819340486
428	0.5817363784
429	0.5815111904
430	0.5813193076
431	0.5811156549
432	0.5810057985
433	0.5807729365
434	0.5805957383
435	0.5804280061
436	0.5802916966
437	0.5801474059
438	0.5799710932
439	0.5797067556
440	0.5795629317
441	0.5793501479
442	0.5791490981
443	0.5789789666
444	0.5787734416
445	0.5785950351
