iter	Logloss
0	0.6898434664
1	0.6867613902
2	0.6837773722
3	0.6812802531
4	0.6787040913
5	0.6763362331
6	0.6741392374
7	0.6719360947
8	0.6698789255
9	0.6681977979
10	0.6664149612
11	0.6648727956
12	0.6633510846
13	0.6618957355
14	0.6605095936
15	0.6592730436
16	0.6580795181
17	0.6568638522
18	0.6559195446
19	0.6549583902
20	0.6540753604
21	0.6533256234
22	0.6524707145
23	0.6517674109
24	0.6510720529
25	0.6504661044
26	0.6498452686
27	0.6493000072
28	0.6487452649
29	0.6481922673
30	0.6475689673
31	0.6471596508
32	0.6465746776
33	0.6461066443
34	0.6456844162
35	0.6451792855
36	0.6447974082
37	0.6443858745
38	0.6440991028
39	0.6437800656
40	0.643495189
41	0.6431989953
42	0.6429159763
43	0.6426006112
44	0.6422775851
45	0.6420326244
46	0.641785076
47	0.6414603856
48	0.6411609922
49	0.6409036085
50	0.6405901009
51	0.6403506217
52	0.6401066005
53	0.6397935815
54	0.6395663589
55	0.6393930482
56	0.6390471355
57	0.6388425255
58	0.6386466934
59	0.6383387961
60	0.6380555247
61	0.6378659954
62	0.6376239015
63	0.6374149269
64	0.6372512852
65	0.637098268
66	0.6369714874
67	0.636714619
68	0.6365231462
69	0.6363102042
70	0.6361698838
71	0.635846353
72	0.6356664979
73	0.6354757713
74	0.6353855995
75	0.6352282928
76	0.6350923371
77	0.6349333876
78	0.634793894
79	0.6345631925
80	0.6343173299
81	0.6340859787
82	0.633972813
83	0.6337049229
84	0.6334837024
85	0.6333262399
86	0.6331615996
87	0.6329132943
88	0.6327946418
89	0.6325791711
90	0.6322728092
91	0.6321779989
92	0.6320482763
93	0.631917147
94	0.631749205
95	0.631620395
96	0.6314714687
97	0.6311791781
98	0.6309579039
99	0.6307451981
100	0.6305709801
101	0.6303664722
102	0.6301519839
103	0.629911082
104	0.6296402605
105	0.6294375834
106	0.6292115472
107	0.6290000493
108	0.628823861
109	0.6286714236
110	0.6284898613
111	0.628355774
112	0.6282087321
113	0.6280286623
114	0.6277800831
115	0.6276056665
116	0.6275298182
117	0.6273912642
118	0.627176572
119	0.6269643225
120	0.6267637552
121	0.6266349345
122	0.6264075454
123	0.6262594995
124	0.6261383292
125	0.6259479891
126	0.6258111101
127	0.6256934991
128	0.6254727296
129	0.6252864751
130	0.6250877116
131	0.6249352957
132	0.6247414983
133	0.62460048
134	0.6244375791
135	0.6241822784
136	0.6240338192
137	0.6239376238
138	0.6237352204
139	0.623483361
140	0.6233101953
141	0.6230602579
142	0.6227892432
143	0.6226657911
144	0.6225673892
145	0.6224260542
146	0.6221985899
147	0.6221112205
148	0.62193449
149	0.6218824625
150	0.6217644005
151	0.6215476897
152	0.6213541446
153	0.6212887168
154	0.6210921599
155	0.6209056746
156	0.6207151144
157	0.6206088742
158	0.6204533391
159	0.6202839476
160	0.6201047045
161	0.619939479
162	0.6197982192
163	0.6196625588
